latitude,longitude,sst_celsius
17.4212,71.2161,2.49
17.4212,71.347,2.47
17.3557,70.3649,2.51
17.3557,70.5613,2.47
17.3557,70.7578,2.51
17.3557,70.8887,2.54
17.3557,70.9542,2.52
17.3557,71.0196,2.52
17.3557,71.0851,2.44
17.3557,71.1506,2.48
17.3557,71.2161,2.51
17.3557,71.2815,2.53
17.2902,70.6268,2.45
17.2902,70.7578,2.51
17.2902,70.8232,2.54
17.2902,70.8887,2.6
17.2902,70.9542,2.36
17.2902,71.0196,2.54
17.2902,71.0851,2.56
17.2248,70.1685,2.48
17.2248,70.2994,2.57
17.2248,70.4959,2.55
17.2248,70.5613,2.54
17.2248,70.6268,2.56
17.2248,70.6923,2.56
17.2248,70.7578,2.54
17.2248,71.0196,2.57
17.2248,71.347,2.37
17.2248,71.4125,2.37
17.2248,71.478,2.38
17.1593,70.5613,2.53
17.1593,70.8232,2.49
17.1593,70.8887,2.6
17.1593,70.9542,2.57
17.0938,70.4304,2.55
17.0938,70.7578,2.42
17.0283,71.347,2.42
16.9629,70.103,2.63
16.9629,70.9542,2.39
16.8974,70.5613,2.6
16.8974,70.6923,2.57
16.8974,70.7578,2.67
16.8319,70.234,2.38
16.8319,70.5613,2.55
16.8319,70.6923,2.59
16.8319,70.7578,2.6
16.8319,71.2815,2.52
16.8319,71.4125,2.42
16.7664,69.7102,2.59
16.7664,70.234,2.53
16.7664,70.2994,2.53
16.7664,70.4304,2.4
16.7664,70.6923,2.67
16.7664,70.7578,2.41
16.7664,70.8232,2.45
16.6355,71.2161,2.49
16.6355,71.2815,2.53
16.57,69.9721,2.47
16.57,70.103,2.41
16.57,70.1685,2.4
16.57,71.2161,2.71
16.5045,70.103,2.51
16.5045,70.1685,2.33
16.5045,70.7578,2.44
16.5045,70.9542,2.51
16.4391,67.9424,2.38
16.4391,69.9066,2.7
16.4391,70.0376,2.45
16.4391,70.103,2.53
16.4391,70.1685,2.33
16.4391,70.7578,2.59
16.4391,70.8232,2.61
16.4391,70.9542,2.39
16.3736,67.877,3.99
16.3736,69.5792,2.41
16.3736,69.6447,2.59
16.3736,69.7102,2.52
16.3736,69.8411,2.51
16.3736,70.0376,2.47
16.3736,70.103,2.46
16.3736,70.1685,2.52
16.3736,70.234,2.45
16.3736,70.3649,2.38
16.3736,70.5613,2.58
16.3736,70.6268,2.59
16.3736,70.8232,2.59
16.3736,71.0196,2.37
16.3081,69.5138,2.37
16.3081,69.5792,2.38
16.3081,69.9066,2.54
16.3081,69.9721,2.24
16.3081,70.1685,2.47
16.3081,70.2994,2.49
16.3081,70.3649,2.54
16.3081,70.4304,2.39
16.3081,70.6268,2.63
16.3081,70.6923,2.52
16.3081,70.7578,2.34
16.3081,70.8232,2.6
16.3081,70.8887,2.59
16.3081,70.9542,2.39
16.3081,71.0196,2.53
16.3081,71.0851,2.39
16.3081,71.1506,2.64
16.2426,69.5138,2.33
16.2426,69.6447,2.35
16.2426,69.7102,2.48
16.2426,69.7757,2.61
16.2426,69.8411,2.44
16.2426,70.0376,2.46
16.2426,70.103,2.65
16.2426,70.1685,2.41
16.2426,70.234,2.41
16.2426,70.3649,2.47
16.2426,70.4304,2.57
16.2426,70.6268,2.58
16.2426,70.7578,2.6
16.2426,70.8232,2.54
16.2426,70.8887,2.56
16.2426,70.9542,2.42
16.2426,71.1506,2.41
16.1772,69.1864,2.44
16.1772,69.2519,2.43
16.1772,69.3828,2.56
16.1772,69.4483,2.5
16.1772,69.5138,2.35
16.1772,69.5792,2.49
16.1772,69.6447,2.48
16.1772,69.7102,2.47
16.1772,69.7757,2.49
16.1772,69.8411,2.44
16.1772,69.9066,2.49
16.1772,70.103,2.44
16.1772,70.234,2.48
16.1772,70.2994,2.46
16.1772,70.3649,2.44
16.1772,70.4304,2.53
16.1772,70.8232,2.62
16.1772,70.8887,2.42
16.1117,67.8115,2.29
16.1117,68.2698,2.54
16.1117,68.3353,2.56
16.1117,68.5317,2.52
16.1117,68.7281,2.51
16.1117,68.7936,2.46
16.1117,68.9245,2.51
16.1117,69.1864,2.37
16.1117,69.2519,2.53
16.1117,69.3174,2.53
16.1117,69.3828,2.55
16.1117,69.4483,2.49
16.1117,69.5138,2.47
16.1117,69.5792,2.45
16.1117,69.6447,2.59
16.1117,69.7102,2.44
16.1117,69.7757,2.37
16.1117,69.8411,2.46
16.1117,69.9066,2.45
16.1117,69.9721,2.46
16.1117,70.0376,2.48
16.1117,70.1685,2.39
16.1117,70.234,2.35
16.1117,70.2994,2.44
16.1117,70.3649,2.44
16.1117,70.8232,2.32
16.0462,67.8115,3.83
16.0462,67.877,2.4
16.0462,68.3353,2.4
16.0462,68.4007,2.48
16.0462,68.4662,2.47
16.0462,68.5317,2.46
16.0462,68.5972,2.46
16.0462,68.6626,2.42
16.0462,68.859,2.41
16.0462,69.2519,2.5
16.0462,69.3174,2.46
16.0462,69.3828,2.52
16.0462,69.4483,2.49
16.0462,69.5138,2.48
16.0462,69.5792,2.52
16.0462,69.6447,2.44
16.0462,69.7102,2.44
16.0462,69.7757,2.48
16.0462,69.8411,2.48
16.0462,69.9066,2.47
16.0462,69.9721,2.48
16.0462,70.0376,2.43
16.0462,70.103,2.42
16.0462,70.1685,2.44
16.0462,70.2994,2.48
16.0462,70.4959,2.46
16.0462,70.8232,2.47
15.9808,68.4007,2.5
15.9808,68.4662,2.42
15.9808,68.5317,2.43
15.9808,68.5972,2.44
15.9808,68.6626,2.42
15.9808,68.7281,2.47
15.9808,68.859,2.35
15.9808,68.9245,2.32
